election_date,anc,last_name,first_name,suffix
2010-11-02,1B07,Lopez,Juan E.,
2010-11-02,1B08,Smith,Ahnna,
2010-11-02,1B09,McKenzie,Lauren,
2012-11-06,1B07,Lopez,Juan E.,
2012-11-06,1B08,Washington,Emily,
2012-11-06,1B09,Turner,James A.,
1979-11-06,1B10,No candidate,,
1979-11-06,1B11,Wade,Dotti,
1979-11-06,1B12,No candidate,,
1981-11-03,1B10,No candidate,,
1981-11-03,1B11,No candidate,,
1981-11-03,1B12,Curry,James W.,
1984-11-06,1B10,Hammonds,Catherine,
1984-11-06,1B11,No candidate,,
1984-11-06,1B12,Jones,J. Tony,
1986-11-04,1B10,Hammonds,Catherine,
1986-11-04,1B11,Washington,James,
1986-11-04,1B12,Jones,J. Tony,
1988-11-08,1B10,Hammonds,Catherine,
1988-11-08,1B11,Bowman,William A.,
1988-11-08,1B12,Jones,J. Tony,
1990-11-06,1B10,Hammonds,Catherine,
1990-11-06,1B11,Treadwell,Mary,
1990-11-06,1B12,Jones,J. Tony,
1992-11-03,1B10,Treadwell,Mary,
1992-11-03,1B11,Jones,J. Tony,
1992-11-03,1B12,James,Reese W.,II
1994-11-08,1B10,Treadwell,Mary,
1994-11-08,1B11,Jones,J. Tony,
1994-11-08,1B12,Blocker,Ida Lowe,
1996-11-05,1B10,Treadwell,Mary,
1996-11-05,1B11,Scott,Cleopatra,
1996-11-05,1B12,Blocker,Ida,
1998-11-03,1B10,Butler,Theodore R.,
1998-11-03,1B11,Thomas,Deborah R.,
1998-11-03,1B12,Blocker,Ida,
2000-11-07,1B10,Butler,Theodore R.,
2000-11-07,1B11,Thomas,Deborah R.,
2000-11-07,1B12,Wilson,Sertira A.,
2002-11-05,1B10,Esters,Kelvin P.,
2002-11-05,1B11,Littlepage,Arabella F.,
2004-11-02,1B10,Mathews,Nate,
2004-11-02,1B11,Wright,Raymond,
2006-11-07,1B10,Mathews,Nate,
2006-11-07,1B11,Wright,Raymond,
2008-11-04,1B10,Ferrer,Eduardo,
2008-11-04,1B11,Holness,E. Gail Anderson,
2010-11-02,1B10,Norman,Tony,
2010-11-02,1B11,Holness,E. Gail Anderson,
2012-11-06,1B10,Norman,Tony,
2012-11-06,1B11,Holness,E. Gail Anderson,
2012-11-06,1B12,Jilani,Zahra,
1979-11-06,1B13,No candidate,,
1979-11-06,1B14,Miller,James,
1979-11-06,1B15,Charity,Guy D.,
1981-11-03,1B13,No candidate,,
1984-11-06,1B13,Sears,Mary B.,
1986-11-04,1B13,James,Reese W.,
1988-11-08,1B13,James,Reese W.,
1990-11-06,1B13,James,Reese W.,
1979-11-06,1C01,Johnson,Virginia M.,
1979-11-06,1C02,Johnson,Margaret M.,
1979-11-06,1C03,No candidate,,
1981-11-03,1C01,Johnson,Virginia M.,
1981-11-03,1C02,Green,Susan K.,
1981-11-03,1C03,Burnes,Ray,
1984-11-06,1C01,Johnson,Virginia M.,
1984-11-06,1C02,Hartley,David K.,
1984-11-06,1C03,Jacques,Kenneth B.,
1986-11-04,1C01,Johnson,Virginia M.,
1986-11-04,1C02,Hartley,David K.,
1986-11-04,1C03,Gumpert,Emily,
1988-11-08,1C01,Johnson,Virginia M.,
1988-11-08,1C02,Malakoff,Grace,
1988-11-08,1C03,Dauksis,Karen,
1990-11-06,1C01,Johnson,Virginia M.,
1990-11-06,1C02,Malakoff,Grace,
1990-11-06,1C03,Crane,James P (Pat),
1992-11-03,1C01,Johnson,Virginia M.,
1992-11-03,1C02,Suerio,Jose,
1992-11-03,1C03,Barrios,Dey,
1994-11-08,1C01,Creel,James R.,
1994-11-08,1C02,Scheirer,William,
1994-11-08,1C03,Pittman,Bobby,
1996-11-05,1C01,Softli,Linda E.,
1996-11-05,1C02,Scheirer,William,
1996-11-05,1C03,Horrigan,Daniel M.,
1998-11-03,1C01,Softli,Linda E.,
1998-11-03,1C02,Wright,Mark A.,
1998-11-03,1C03,Miscuk,Andrew James,
2000-11-07,1C01,Roth,Alan,
2000-11-07,1C02,Wright,Mark,
2000-11-07,1C03,Miscuk,Andrew James,
2002-11-05,1C01,Roth,Alan,
2002-11-05,1C02,Apostolides,Nikolaos,
2002-11-05,1C03,Weaver,Bryan,
2004-11-02,1C01,Roth,Alan,
2004-11-02,1C02,Canty,Jon,
2004-11-02,1C03,Weaver,Bryan,
2006-11-07,1C01,Weise,Barry,
2006-11-07,1C02,Mechner,Emily,
2006-11-07,1C03,Weaver,Bryan,
2008-11-04,1C01,Moye,Stacey,
2008-11-04,1C02,Otten,Chris,
2008-11-04,1C03,Weaver,Bryan,
2010-11-02,1C01,Moye,Stacey,
2010-11-02,1C02,Davis,Martis,
2010-11-02,1C03,Kamanda,Olivier,
2012-11-06,1C01,Hart,Brian,
2012-11-06,1C02,Davis,"Martis ""Marty""",
2012-11-06,1C03,Guthrie,Ted,
1979-11-06,1C04,Hargrove,Ann Hughes,
1979-11-06,1C05,Lopez,Manuel B.,
1979-11-06,1C06,No candidate,,
1981-11-03,1C04,Jacques,Kenneth R.,
1981-11-03,1C05,Rogers,William G.,
1981-11-03,1C06,Baker,Harry W.,
1984-11-06,1C04,Hughes,Ken,
1984-11-06,1C05,Forman,James,
1984-11-06,1C06,Vazquez,Willie P.,
1986-11-04,1C04,White,Dianna L.,
1986-11-04,1C05,Green,Doris,
1986-11-04,1C06,Jones,John,
1988-11-08,1C04,Helmick,Barbara,
1988-11-08,1C05,Schott,Peter M.,
1988-11-08,1C06,Brooks,John,
1990-11-06,1C04,Helmick,Barbara,
1990-11-06,1C05,Schott,Peter M.,
1990-11-06,1C06,Jones,John,
1992-11-03,1C04,Adams-Shango,Hazel C.,
1992-11-03,1C05,Smith,Damu,
1992-11-03,1C06,Coleman,Steve,
1994-11-08,1C04,Pullian,Kent D.,
1994-11-08,1C05,Cook,Kitty,
1994-11-08,1C06,Mosley,Todd,
1996-11-05,1C04,McCormick,Sheila,
1996-11-05,1C05,No candidate,,
1996-11-05,1C06,Mosley,Todd,
1998-11-03,1C04,No candidate,,
1998-11-03,1C05,Whitman,James N.M.,
1998-11-03,1C06,Johnson,Eleanor,
2000-11-07,1C04,Schott,Peter,
2000-11-07,1C05,Jovanka,Jobi,
2000-11-07,1C06,Johnson,Eleanor,
2002-11-05,1C04,Moretti,Mindy,
2002-11-05,1C05,Levy,Ken,
2002-11-05,1C06,Broaddus,Andrea,
2004-11-02,1C04,Moretti,Mindy,
2004-11-02,1C05,Miscuk,Andy,
2004-11-02,1C06,King,Graham,
2006-11-07,1C04,Moretti,Mindy,
2006-11-07,1C05,Logsdon,J. Michael,
2006-11-07,1C06,Shia,Nancy,
2008-11-04,1C04,Moretti,Mindy,
2008-11-04,1C05,Logsdon,J. Michael,
2008-11-04,1C06,Shia,Nancy,
2010-11-02,1C04,Mossi,Gabriela,
2010-11-02,1C05,No candidate,,
2010-11-02,1C06,Lanning,Steve,
2012-11-06,1C04,Mossi,Gabriela,
2012-11-06,1C05,Dehbozorgi,Elham,
2012-11-06,1C06,Simpson,William (Billy),
1979-11-06,1C07,No candidate,,
1979-11-06,1C08,No candidate,,
1979-11-06,1C09,Jackson,Edward G.,Sr
1981-11-03,1C07,Quintana,Harry J.,
1981-11-03,1C08,Shia,Nancy Lou,
1981-11-03,1C09,Jackson,Edward G.,Sr
1984-11-06,1C07,Jackson,Edward G.,Sr
1984-11-06,1C08,Mobley,Ezekiel C.,Jr
1984-11-06,1C09,Smith,B. Harold V.,
1986-11-04,1C07,Jackson,Edward G.,Sr
1986-11-04,1C08,Dent,William H.,
1986-11-04,1C09,Smith,B. Harold V.,
1988-11-08,1C07,Hildebrand,Nancy,
1988-11-08,1C08,Lyden,Peter,
1988-11-08,1C09,Long,Ruth,
1990-11-06,1C07,Jackson,Edward G.,Sr
1990-11-06,1C08,Rossi,David A.,
1990-11-06,1C09,Long,Ruth,
1992-11-03,1C07,Jackson,Edward G.,Sr
1992-11-03,1C08,Arrington,William (Bill),
1992-11-03,1C09,Long,Ruth,
1994-11-08,1C07,Jackson,Edward G.,Sr
1994-11-08,1C08,Williams,Peter M.,
1994-11-08,1C09,Long,Ruth,
1996-11-05,1C07,Llorente,Carolyn,
1996-11-05,1C08,Coleman,James,
1996-11-05,1C09,Mindel,Aaron,
1998-11-03,1C07,Llorente,Carolyn,
1998-11-03,1C08,Letsinger,Eric,
1998-11-03,1C09,Mason,Wayne Richard,
2000-11-07,1C07,Gibson,Josh,
2000-11-07,1C08,Brody,Daniel R.,
2000-11-07,1C09,Klempay,Peter L.,
2002-11-05,1C07,Gibson,Josh,
2002-11-05,1C08,Coudriet,Jeff,
2004-11-02,1C07,Gibson,Josh,
2004-11-02,1C08,Taylor,Lynn A.,
2006-11-07,1C07,Reynolds,Wilson,
2006-11-07,1C08,Boettrich,Kathie,
2008-11-04,1C07,Reynolds,Wilson,
2008-11-04,1C08,Boettrich,Kathie,
2010-11-02,1C07,Reynolds,Wilson,
2010-11-02,1C08,Boettrich,Kathie,
2012-11-06,1C07,Reynolds,Wilson,
2012-11-06,1C08,Rock,Jimmy R.,
1979-11-06,1C10,No candidate,,
1979-11-06,1C11,McClintick,Durstine W.,
1979-11-06,1C12,No candidate,,
1981-11-03,1C10,Piccini,Elaine,
1981-11-03,1C11,Kenner,O'Bryant,
1981-11-03,1C12,Erdmann,Robin J.,
1984-11-06,1C10,Kenner,O'Bryant,
1986-11-04,1C10,Arrington,William E.,
1988-11-08,1C10,Arrington,William E.,
1990-11-06,1C10,Arrington,William E.,
1979-11-06,1D01,No candidate,,
1979-11-06,1D02,Dym,Elaine,
1981-11-03,1D01,Vetter,Charles T.,Jr
1981-11-03,1D02,Dym,Elaine,
1984-11-06,1D01,Dynes,Chuck,
1984-11-06,1D02,Singer,Myra Ann,
1986-11-04,1D01,Lindley,Jean,
1986-11-04,1D02,Washburn,Harold K.,
1988-11-08,1D01,Lindley,Jean,
1988-11-08,1D02,Wainwright,Ronnie Ann,
1990-11-06,1D01,Brunton,Judith R.,
1990-11-06,1D02,Arrington,C. (Breck),Jr
1992-11-03,1D01,Dalton,Carol A.,
1992-11-03,1D02,Drissel,Marie,
1994-11-08,1D01,Early,Kathleen M.,
1994-11-08,1D02,Hirshberg,Bob,
1996-11-05,1D01,Catania,David A.,
1996-11-05,1D02,Bumbalo,Linda,
1998-11-03,1D01,Salonia,Lance P.,
1998-11-03,1D02,Bumbalo,Linda,
2000-11-07,1D01,Salonia,Lance P.,
2000-11-07,1D02,Carter,Marlis,
2002-11-05,1D01,BiTonda,Barbara,
2002-11-05,1D02,Grant,Will,
2002-11-05,1D03,McKay,Jack,
2004-11-02,1D01,Kahn,Wayne,
2004-11-02,1D02,Roberts,Devenia,
2004-11-02,1D03,McKay,Jack,
2006-11-07,1D01,Zara,Jane,
2006-11-07,1D02,Esparza,Joe Anthony,
2006-11-07,1D03,McKay,Jack,
2008-11-04,1D01,Lepanto,Phil A.,
2008-11-04,1D02,Tunda,Oliver,
2008-11-04,1D03,McKay,Jack,
2010-11-02,1D01,Castillo,Yasmin Romero,
2010-11-02,1D02,Phelan,Laura Wilson,
2010-11-02,1D03,McKay,Jack,
2012-11-06,1D01,Castillo,Yasmin Romero,
2012-11-06,1D02,Hoey,Adam,
2012-11-06,1D03,McKay,Jack,
2002-11-05,1D04,No candidate,,
2002-11-05,1D05,Muller,Peter,
2002-11-05,1D06,Sale,Dominic K.,
2004-11-02,1D04,Edwards,Gregg,
2004-11-02,1D05,Wysocki,Richard A.,Jr
2004-11-02,1D06,Sale,Dominic K.,
2006-11-07,1D04,Edwards,Gregg,
2006-11-07,1D05,Bosserman,David,
2006-11-07,1D06,Scott,Angelia D.,
2008-11-04,1D04,Edwards,Gregg,
2008-11-04,1D05,Bosserman,David,
2008-11-04,1D06,Scott,Angelia D.,
2010-11-02,1D04,Edwards,Gregg,
2010-11-02,1D05,Terrell,China,
2010-11-02,1D06,Scott,Angelia D.,
2012-11-06,1D04,Greiner,Phil,
2012-11-06,1D05,Terrell,China,
1979-11-06,1E01,No candidate,,
1979-11-06,1E02,No candidate,,
1979-11-06,1E03,No candidate,,
1981-11-03,1E01,No candidate,,
1981-11-03,1E02,No candidate,,
1981-11-03,1E03,Low,Linda,
1984-11-06,1E01,Reiss,Matthew,
1984-11-06,1E02,Grandi,Edward F.,
1984-11-06,1E03,Ackmann,Alex,
1986-11-04,1E01,Fealing,Ken,
1986-11-04,1E02,Goldzweig,Sharon G.,
1986-11-04,1E03,Ackmann,Alex,
1988-11-08,1E01,Fealing,Ken,
